rootcause,subcategory,symptoms
Interface Design and Configuration Management,API Interface and Parameter Configuration Errors,"set_none_gradients_to_zero misspelled or scale value wrong,Using CUDA default interface incorrectly to create tensor causes device crash,Argument position wrong、quotes mismatch、state_dict misuse,Parameters not assigned to correct device or cause model init exception,Model expects cuda but allocated on cpu、load fails,pipeline module did not pass strict parameter,pipeline module error,Head count mismatched with parallel setting causing assert fail,KeyError when calling initialize,safe_set_full_grad、offload_states and similar interfaces failed or had no effect,Passing illegal type to kernel inject parameter triggers TypeError,bias_gelu and similar module tests fail,Model cannot load / OOM / parameters unsynced,Corrupted output during inference、last batch output wrong、progress bar not updated、rank config error etc,Some parameters not cast back to FP32、layer missing or order wrong,torch.add and similar patch method parameters unhandled causing crash,`step()` interrupted / parameter error,Speech or image task initialization error,OneCycleLR default config triggers ZeroDivisionError,zero_to_fp32 weight extraction wrong / parameter misaligned,Parameter group missing field error,Unused parameter assertion enabled by default,get_cpu_offload_context parameter passed wrong,AutoProcessor load failure,Missing optimizer field causes crash,router_dtype parameter missing,vocabfile/mergefile parameters not handled,QKV bias attribute missing,optimizer is None causing model save error,init_method not declared,get_cpu_offload_context parameter wrong,transformer_engine.py conditional parameter count wrong,HF checkpoint attribute missing,get_cpu_offload_context parameter error,vocab.json missing,BadRequest error output,Output garbled after tool selection,invalid tool param,test_sleep parameter wrong,Benchmark init parameter wrong,Returns 415 status code,ChatCompletionRequest rejects default values,best_of=1 wrongly rejected,sampler parameter None causes error,Auto tool invocation missing parser,V1 returns wrong response count,offline inference example missing parameter,OpenVINO backend parameter missing,Empty tool field causes Llama template failure,skip_special_tokens parameter crash,Cannot set kv cache dtype,cache_full_blocks parameter wrong,Client status not reported,transcriptions endpoint signature fail,bad request request fail,POST signature fail,device_id_to_physical_device_id parameter cannot cast to int,function call parameter None error,test_sleep parameter wrong,Benchmark init parameter wrong"
Interface Design and Configuration Management,Interface Specification and Compatibility Bugs,"Higher version torch causes API changes、such as missing attributes or behavior change,Old interface deprecated in new version causes error,After transformers update pytest fails、function deprecated,Scheduler removed causing error、device_type parameter incompatible,Missing torch1.11 causes failure,view() incompatible with old torch,Old API invalid or behavior changed in new PyTorch,test_bias_gelu incompatible with torch 1.12 or diffusers forward interface change triggers crash,pydantic incompatible with config class、PyTorch not installed causes failure,autotuner config change breaks compatibility,Old API example unusable / inference_engine init fails,THCGeneral.h missing / TORCH_CUDA_ARCH_LIST compile conflict / hipify parameter wrong,If mpu/config parameter not provided、Config interface incompatible、scheduler setting abnormal,Not inheriting PyTorch Dataset deemed invalid,AutoProcessor inconsistent with PlaceholderRange,HF template load order wrong,V0 does not support custom config,snake_case and kebabcase naming not supported,PythonicTool accepts alpha names only,Tool name does not support snake_case,Tool name does not support snake_case"
Interface Design and Configuration Management,Interface Tool and Configuration Management Failures,"Path error、special characters unescaped、missing env var causes error,Treating python command as script file,Unescaped characters in MPI training cause config fail or abnormal behavior,Address conflict / fork init failure,OpenMPI unsupported / parameter pass fail,API key parameter conflicts with env var,VLLM_NCCL_SO_PATH env var ineffective for spawn worker,tokenizer file path wrong"
Interface Design and Configuration Management,Configuration Parameter Handling Anomalies,"User config invalid、command line parameter invalid,Setting not applied、default behavior abnormal,User config error、parameter invalid or interface behavior inconsistent,Parameter change triggers recompile or improper batch setup causes evaluation fail,Quantization setting not read correctly,Offload config chaotic、optimizer state inconsistent、gradient_accumulation ineffective,train_batch_size differs from micro_batch、parameter abnormal,model_meta_device wrong、command line quotes unbalanced,Config format wrong、parameter dtype mixed causes allgather error,max_in_cpu parameter invalid,Missing key field in autotune or manual config causes feature missing,Causes model config check fail or runtime interrupt,max_grad_norm config not working,initialize alters model output、zero_stage setting causes memory surge,ZeRO/Optimizer/Lora/Sequence Parallel module behavior abnormal or config ineffective,Missing option to skip ZeRO states、NVMe config no buffer、parameter state disorder etc,tensor_model_parallel_size set to 16 but actually 4,Mutable default parameter modified in init_inference,autotuning with incompatible ZeRO config causes profiling fail,Performance abnormal / infinite recursion / parameter ineffective,Pydantic config not serializable to JSON,save_checkpoint missing parameter / file ordering wrong,Parameters not passed correctly or initial metric empty causes tuning abnormal,local_rank setting wrong,auto-detect-ckpt-format conflict not detected,CUDA_VISIBLE_DEVICES setting invalid,Optional config field unhandled,JSON batch config conditional check improper,seed parameter default not None requires manual set,stop parameter or tensorparallelsize setting wrong,max_model_len setting fail,tokens_total metric config improper cannot display in metrics,Cannot find config format supported by model,Command line parameter abnormal,tensor_parallel_size config slow start,maxwidth 0 breaks page header"
Interface Design and Configuration Management,Configuration Logging and Documentation Consistency Bugs,"Users cannot use help info properly or parameters ignored,Latency or parameter statistics wrong / discrepancy amplified,Spelling、config field、comment error or misleading info,Comment inaccurate、docstring mismatched with behavior、config description missing,CODEOWNER missing / parameter format wrong / PR not submitted,Key build parameter undocumented / script in tutorial missing or invalid,config dump format chaotic,token drop strategy default value misspelled,DeepSeek chat template missing {% endif %},GLM4V template not specified,LoRA template contains wrong char,chat_template conditional leads to inconsistent output,Field name sharing ignores top_logprobs"
Architecture and Module Integration,Module Integration and Compatibility Errors,"Model attribute is None causes AttributeError,Some sub-modules fail to load weights,CLIPVisionModel、BF16、frozen parameters etc. not loaded or written correctly,Structure mismatch causes conversion failure or key not found,Weights differ or structure error after model load,lm_head load fails in HybridEngine,Quantizer error,Pipeline chaining fails,ControlNet injection failed、DiffusionPipeline lacks LoRA support、cannot handle longer prompt,Import failure or missing module error,Cannot import module、runtime symbol not found、cc1plus missing、function arguments incompatible etc.,AttributeError or function/module not found or name error,tokenizer cannot run concurrently with model.generate、pipeline module fails on variable-length input,Module import fails such as op_builder/cpuinfo,Pickle deserialization fails、children attribute missing、module attribute missing,Power9 architecture missing vendor_id causes key error、Windows/CI unsupported for some operations,Transformers log change、torch._six removed、meta tensor incompatible with kernel injection,pip upgrade failure、permission issue、torch/transformers cause device detection error,Calling NoneType.save raises error、meta tensor error、optimizer creation error,get_model_profile path misconfigured cannot output report,Assertion failed / wrong weights / shared-weight conflict,Run failure / model error,Extension module build failed / undefined symbol error,OrderedDict import fails in Python 3.6 causing ImportError,Save failed / multi-GPU save scrambled / slow load,InferenceEngine init missing parameters or validation failed,Checkpoint path not found / file load failed,Missing ops or attribute reference failure triggers AttributeError,Windows build failed、CI missing libaio-dev causes compile failure,Module load failed or misused with no guidance,Checkpoint loading method differs between models,DS compile failed on Windows or Linux,Build flag such as DS_BUILD invalid,Cannot build on Windows,Some features missing on Windows,Install/run fails reporting missing module symbol or header,MOE cannot be combined with SD,OPT or Megatron load fails at inference、incompatible or inconsistent output,Tensor model parallel group not initialized,AWQ launch failed,FlashAttention does not support Alibi,LoRA cannot be restored,Whisper launch crashes,load_weights exception,openai-agents Runner.run_streamed call failed,Fork issue during tokenizer init,Mistral tokenizer incompatible,torch.compile incompatible with specific model,GPUModelRunner missing lora_manager attribute,context_parallel_size with max_position_embeddings triggers error,int3 model run error,Multi-modal processor refactor failed,per_token_group_quant_fp8 kernel shape failure,Preemptions combined with LoRA raises error,Enabling prefix cache and disabling block prefill crashes MLA model,DeepSeek and vllm MTP implementations inconsistent,Qwen2.5-VL architecture unsupported,Granite 3.0 model load failed,DeepseekR1 weight binding error,fp8 not supported,xgrammar version feature difference,transformers cannot recognize multi_modality type,Model type unrecognized,Resource module missing,flash_attn API removed,Unrecognized model architecture causes deployment error,Gemma2 model structure unrecognized,as_classification_model call failed,Multimodal renamed wrapper class triggers input failure,xgrammar speculative decoding crash,MP Utilities issue,Unrecognized model type causes crash,BNB loader load failed,bnb model TP unsupported error,Qwen2.57BInstruct architecture unrecognized,XLMRoberta model load failed,vllm LoRA response mismatches peft/transformers attributes not loaded correctly,Vision module inference failed users request fix plan,Cannot build or execute specific op such as scaled_upper_triang_masked_softmax build failed,Python instance cannot cast to C++ type or TypeError raised,Checkpoint or state_dict save/load logic error causes wrong restore or gradients,Device init error or context not set leads to inability to delete torch payload or create wrong shard,User hits failure using feature such as SmoothQuant apply fail or parameter conflict blocks API,Model conversion or inference raises error,Feature ineffective no operator invoked,Operator fusion failed、process conflict or parameter missing,Weight load error causes garbled output、unrecognized layer during weight conversion、dimension mismatch merging weights、image pull failure causes model load error,Converted weight file format wrong or function abnormal,Parameter count mismatch after model conversion,T5 model in mindspore.nn.transformer lacks Beam_Search inference code so cannot go online,Model weight load failed or API call exception"
Architecture and Module Integration,Core Framework Mechanism Bugs,"Cannot recognize or execute certain APIs (such as compile、sdpa)、leading to initialization or training failure,Variable-length sequences break pipeline parallelism、AutoTP unsupported、input failure,deepspeed.initialize called repeatedly or causes side effects,create_adam in Zero optimizer raises error or NoneType call,backward attribute missing causes runtime error,Optimizer type differs from actual low-level optimizer causing type check and init conflict,CUDA_VISIBLE_DEVICES and similar variables invalid causing unintended GPU use or failure,torch.upsample API change leads to FLOPs calculation error,fixture scope misconfigured、test fails unstopped、test script logic wrong affecting CI or coverage,flops accumulation error or profile logic confused in FLOPsProfiler,autotune JSON default null conflicts with constants,include specifying multiple GPUs but only partially effective,Test failure / regression check cannot complete,Path error in pytest tests/__init__.py causes tests invalid or skipped,FLOPs or MACs calculation inconsistent or wrong,Auto-tuning feature error / batch size check anomaly / process abort,FLOPS profiler report abnormal,Python tarfile vulnerability (CVE-2007-4559) allows directory traversal,Statistics error / unit conversion error / inconsistency,Randomness remains when eval enabled,Flops profiler output error / spelling issue,torch version update causes gather crash,XLA backend FX graph inconsistent,triton kernel output wrong,fp8_utils causes CPU call failure,triton mla kernel handling failed,torch.compile crash,PTX code generation failed,Static shape compilation failed,tracer detects inconsistency、strategy conflict、gradients not released、data race,Resharding cost calculation inaccurate,Improper handling of inplace operations or checkpoint flow causes backward error,Automatic gradient function incomplete tensor type handling,AutoTuning error,Model compilation crashes due to dynamic shape"
Architecture and Module Integration,Architectural Module Execution Failures,"Weights become 0 during training or restore、parameter dimensions scrambled,MLP layer composition causes shape mismatch,Size mismatch and inference anomaly on models like LLama2、Qwen,Expert count greater than device count causes inference error,InferenceEngine cleanup insufficient、int4/int8 model error,Target value not properly tensorized triggers CUDNN_STATUS_MISMATCH error,Odd parameter count causes CUDA memory alignment error,Leads to GPTJ and similar model test failure or key/value tensor anomaly,Input tensor type wrong、meta tensor unhandled、weight dimensions mismatch,Running T5-11B and similar on 24 GB GPU causes OOM or init failure,Non-contiguous tensor causes error,hidden_size mismatch,Qwen model shape mismatch causes crash,Embedding shape mismatch causes runtime error,Qwen/QVQ-72B-Preview module shape mismatch,MiniCPMV image embedding not converted to list causes dimension error,Outputs mismatch weights after AWQ or GPTQ quantization,Qwen2-Audio input dimension error,Shape mismatch when InternVL2 processes vision embeddings,hidden_size or tensor shape invalid leads to RuntimeError,Layer norm or tensor shape mismatch leads to RuntimeError,SPMD solver output shape cannot match causing computation failure,RuntimeError: tensor on different devices"
Architecture and Module Integration,Module Design Logic Bugs,"PEFT model improperly handles embedding layer causing all_reduce error,First stage layer count insufficient、parameter partition wrong or slow init,Module ID unexpected、trace cache invalid causing training interruption,softmax behavior wrong,INT8 quantization logic update omitted,PipelineEngine lacks flatten attribute、wrong isinstance check causes crash,In-place operation triggers requires_grad error、nested loading fails etc.,MLP output shape set to intermediate weight dimension、attention reshape fails,bias add、fused relu/bias/residual operations error or missing tests,Missing parameter description such as checkpointable_layers、code comments unclear,replace_wo_policy parameter type check ineffective、optimizer init cannot use config dict,reshape-copy operation failed,Function name wrong、parameters not initialized、assertion/exception unhandled,Module init order unreasonable causing failure,README incorrect / table parse fail,SelfAttention ignores mask / qkv_out type handling error,Mixtral did not use head_dim config,Qwen2.5 classification model not implemented,Qwen2.5 lacks VL classification model support,Lora kernel order improper,torch.unique misuse in Punica kernel,Neuron config override failed,xgrammar does not support enum,get_multimodal_embedding mismatched with PlaceholderRange,DeciLMConfig JSON sub-schema error,load_weights in adapters.py did not return,mistral tokenizer cannot support structured outputs,LoRA removed but not handled,get_multimodal_embeddings returns nested structure causing cache conflict,MoE graph mode needs optimization,bias_scale missing,Default value sync failed during build,lm_head/base_layer not trainable,Missing prompt_embeds causes embedding fine-tune failure,allocate_slots called in wrong place,LoRA weight mapping error,QKVParallelLinear launch bias error,Redundant softmax in PoolingType.STEP,CLIP encoder layer count check wrong,Missing example_input_array etc. prevents graph logging or stalls run,Trainer lacks add_argparse_args attribute causing AttributeError,super().init() missing leads to class init failure,autoparallel module getitem mis-handles tensor dims,Parameter init order wrong、meta parameters mishandled、module init fail,Context or parameters not set properly during init or construction causing failure,Embedding table or tensor sharding logic error causes accuracy or performance issue,Node merge or strategy generation logic defect causes kernel generation error or perf issue,QKV implementation deviates from classic transformer causing wrong results,lora_weights value insufficient triggers assert failure,mlp.proj not split properly during SmoothQuant,cross-attention wrong results、parameter not applied、memory not fully released,Output dimension mismatch causes wrong output、LoRA module test fails and needs fix,In transformer module dot_product_attention_forward_wrapper generates attention_mask overriding external mask、causing redundancy"
Architecture and Module Integration,Inference and Generation Anomalies,"HybridEngine output abnormal,Inference speed slower than expected,Performance worse than other frameworks such as FasterTransformer,Poor inference quality for GPT-J、GPT-Neox etc.、Contrastive Search generates inconsistent,Silent bug / performance degradation or inconsistency,Model output abnormal / model load failed / inference crash,GPT-J/T5/NeoX and similar produce garbled or corrupted output、performance drop、long-text multi-batch inference inconsistent,Beam Search output degraded,No inference performance improvement,Example run error / cannot reproduce / model output scrambled,Model output chaotic / optimizer load failed,ViT/BERT and similar training performance worsened,MoE model evaluation failed,IMA anomaly,Performance drops after MLA module change,Output abnormal under Qwen2.5 with VLLM config,Model output abnormal after 2:4 sparsity quantization,Output abnormal after model load、likely quantization or load logic error,Results from converted model differ from original model,Specific feature not as expected such as Medusa not supporting Mixtral、Grouped Diverse Beam Search abnormal output"
Code Quality、Logging、Testing and Security,Testing and Quality Assurance Bugs,"Nightly test failed、CI workflow path misconfigured、tests not triggered,CI crashed、tests skipped or issue not reproducible,Nightly CI tests frequently fail、cannot verify commit validity,CI or Nightly tests fail、compile error、dependency missing or wrong path,Tests skipped on certain platforms、release becomes unstable,Unit tests fail、coverage incomplete、new logic uncovered,CI tests skipped,Nightly CI fails on platform,Scripts for spaces or copyright replacement fail、code check or compliance impacted,CI or deployment failed,Nightly CI tests periodically fail or give false positives,Nightly CI tests fail、mis-sent mail、incompatible with torch or transformers update,Nightly CI fails repeatedly,Spelling issue / dead link / description missing,BERT convergence difference,Old version test residue,test_pipe unstable,LoRA bias test causes CI failure,Jenkins report failure,vllm format check fails in CI but passes locally,Docker compose test assertion error,entrypoint tests fail due to model update,pre-commit check failed,Missing source file dependency in tests,CI file_exists timeout,CI build failed,Test case failed,Build failed due to GH200 or CI config issue,isort or yapf error in pre-commit,mypy type check failed,CI outage,yapf module crashed in CI,pytest flaky issue,CI crashes because new logic not covered,CI missing dependencies,pytestpipeline.yaml error,Build task did not pass,Tests skipped,Conflict PR comment misidentified,MambaMixer split missed integration test,YAPF format check failed,multistep test failed need revert,test_broadcast skipped affecting accuracy,Benchmark fails when best_of>1,Test case broken by new parameters,actions or github-script version update caused failure,develop branch fix not released、production 0.6.2 fails,Missing or partial test cases such as pytest not detecting typos,test_fx or test_tracer failed；preprocess step missing causes test fail；test_continuous_batching too long；CI tests fail due to timeout misconfig,PR not created by standard flow causes code quality issue；CI build flow not optimized taking too long,Missing preparatory action causes test fail,Tests fail when enabling specific features such as sequence parallel mode or enable_flash_attention,Deterministic dataloader not removed causes test anomaly、performance metric variance、mount disk data inaccessible causes test fail,CI test failed or feature verification incomplete,Tests not covering optimisation combo such as Flash Attention 2 plus Pipeline Parallelism,Missing gradient check、shard optimizer state dict unsupported,Folder structure chaotic or tests uncovered causing functional issue,pypi release or CI workflow build failed,Unit tests hang、missing tests、added model types cause failure,Unit tests cannot pass or coverage incomplete,Unit tests failed or skipped,git operation failed,Missing or interfering tests cause failures or omissions,Test script or CI config error causes unit tests fail or skip,Missing pytest import causes tests not run,Unit tests hard-code GPU count causing validation fail,Missing unit tests cause context init error、test params not updated、multi-process tests not covering pretrained load,Unit tests fail need hotfix or test code change,Wrongly merged unfinished code WIP PR need revert or fix missing commit,Unit tests fail due to function return change such as get_current_device or test directory naming,Unit test format invalid、cannot run or test logic error such as pytest compatibility,Release workflow skipped or GitHub Action unavailable needs manual intervention,tests timeout when merging branches,PR missing labels causing management difficulty,User requests test scripts update to support new feature,Test report cannot show unit or integration test duration,Test case execution failed or non-deterministic failure such as dependency timing or parameter error,Tests not passing such as Test failed tests or Kill tests or multi-GPU tests,User mistakenly created blank issue such as empty title or body,Unit test failed,Conversion script lacks test coverage,Test case location or validation logic error causes gate failure,Test case cannot pass,Test case cannot pass,Gate system fails to detect error code allowing problematic PR through"
Code Quality、Logging、Testing and Security,Code and Algorithm Implementation Failures,"Naming conflict、spelling error、redundant or wrong type parameter triggers logic failure,Double quotes cause type conversion failure,.gitignore format invalid or path issue causes build failure,Spelling error、unsupported API parameter、name conflict,autotuner.py and similar modules have spelling errors、key parameter not generated、optimization or run flow affected,ds_params_percision_t misspelled,Violates PEP8 or poor code readability,ds_chat refactor breaks old code、name conflict causes CI failure,Multiple concurrent commits cause merge conflict blocking integration,Extension attribute name or parameter spelling error or call mismatch raises AttributeError or TypeError,Spelling error impacts run / misleading comment or log,quantizer missing / logits invalid / CUDA error,Duplicate restore script、format wrong、state disordered、zero_to_fp32 output mismatch,AdamW lacks half attribute,Checkpoint parameter naming inconsistent,Initialization error in optimizer,Missing max_sequence_len attribute,Learning rate multiplier wrong,UUID removal prevents deserialization,torch.compile UUID cache failed,Function naming hinders pytest discovery,num_gpu_blocks not initialized,Missing import statement,rule applies label wrongly,Macro naming conflict,Variable naming error causes checkpoint load fail,Variable f undefined,Variable full_sharded_model_space misspelled causes NameError,token_dispatcher misspelled causes hidden shape error,is_coordinator removed causes torch.py error,Function name misspelled,Variable name unclear,Context manager syntax error,bert_model misspelled,Context manager syntax issue in transformer_block.py,Field spelling error causes log anomaly,Missing __init__.py,SamplingType.BEAM misspelled,removeLabels spelling issue,Bracket missing,Unused variable not cleaned,Sampling type misspelled,Filename contains space,hipify.py overwrites shebang,compile_sizes.copy replacement merge logic wrong,Filename space should be dash,Yapf crash,deprecated decorator wrongly annotated,support_torch_compile decorator erases original class info,enableautotoolchoice misspelled,Script naming error causes version naming confusion,Accidentally introduced commit_id.py or redundant function,Field merge conflict in CI,Spelling error,Hermes2ProToolParser class variable assigned twice causing logic error,Branch merge not cleaned causes code conflict、old torch command adapt issue、branch deletion forces PR resend,Code spelling error causes functional issue、rand() invalid param TypeError,File format wrong、spelling error、import order improper,Duplicate computation、redundant op or undefined var causes error,Duplicate module registration causes crash,Method or variable naming error causes function failure,Codebase redundancy,_FORMAT undefined in logger.py causes crash,Variable undefined、attribute missing、class name mismatched to functionality,Extra files not ignored cause repo chaos,Format check or path match fails,Variable or namespace error causes functional anomaly or wrong display,Function or method re-defined causing redundancy or conflict,Code spelling, indent or logic omission leads to incomplete function or trace failure,Non-standard code format causes functional anomaly or instability,Duplicate registration causes abnormal system behavior,Constant misspelled causes logic anomaly、unused import、code not conforming style,Code and comment format non-standard causing display anomaly or format check fail,Misleading redundant impl in test code affects maintainability,User reports code needs refactor to improve maintainability,Sync PR causes conflict or module version mismatch,Style or spelling error in diffusion code or send_message_to_lark.py,Pre-merge checklist incomplete leads to style inconsistency,Unused import may cause import error,Refactor legacy code triggers error such as trtGptModelInflightBatching.h not cleaned,Code change then compile error,Expert system callback naming error causes exception,Spelling error in code causes functional anomaly,Sample code format inconsistent,Export script has redundant or invalid code block,Script contains redundant or invalid code causing functional anomaly,Referenced script or folder missing leading to unusable feature,Unassigned variable referenced,__all__ import package spec inconsistent,Redundant module not cleaned causing runtime anomaly,Duplicate API name floods warnings"
Code Quality、Logging、Testing and Security,Error Handling and Boundary Condition Bugs,"Logic failure or uncovered edge case such as Domino/all_reduce,Exception type changed without updating handling logic,get_global_rank returns wrong value or error type inconsistent,Result differs from Huggingface、result fluctuation、output anomaly、assertion error,Container policy fails on tuple handling、missing assert、from_blob cache value wrong,Error capture mechanism not generic causing exception swallowed,Assert statement unclear,Version check error causes state mismatch,Metrics structure mismatch,New metric not registered,Prometheus metrics only support old version,Metrics is None,Structured output error metrics inconsistent,Custom percentiles cause KeyError,Prometheus counter accumulation anomaly,Error handling unclear,Undefined field error message vague,Assertion failed,Evaluation script assertion failed,Assertion failed,ValueError message vague,Improper assert on config causes potential issue,Assertion error、TypeError、function parameter missing,Test case lacks edge coverage、flash attention test failed,setStorage out of bounds；duplicate function causes redundancy；index error causes numerical issue；input dimension mismatch raises RuntimeError,Assertion failure stops program execution,KeyError、package import failure or relative or absolute import conflict"
Code Quality、Logging、Testing and Security,Logging、Debugging、and Monitoring Bugs,"Using handle print causes redundant output during training,A large amount of useless warnings or config print messages appear,UserWarning、confusing warning messages、training results hard to debug,Warning repeated printing、log config abnormal or assert not as expected,Printing misleading warning or triton cache warning message repeated,Logger module format error、missing f-string,Such as loss value not averaged、optimizer naming messy、log lacks information、affects debugging and performance evaluation,Program errors but no traceback or diagnostic info causing user unable to locate issue,Trace cache warning cannot be disabled or configuration causes log confusion or user confusion,Error message not actionable,FLOPs、latency、log repeated output or wrong estimation,HTML parse failure / spelling error / log chaos,Multi process duplicate print / too much debug output,Too much debug info when Zero3 starts / assert missing space / print used instead of logger,Includes too much duplicate output、log level or scope not limited、leading to information redundancy,Meaningless else or pass / extra debug print,Residual debug statements cause noise,http display error in CI log,Log unit error,print used instead of logger,Token usage info not returned,False log in checkpointing.py,Duplicate log printing,Logger did not inherit log level,Variable spelling error leads to log distortion,Misleading log output,Spelling error log confusion,Misleading error log,Log format missing left bracket,Misleading error message,Platform detection noisy logs too many,Redundant parameter warning,Log format missing bracket,Output wrongly sent to stderr making user unable to parse,Incomplete exception stack trace,DeepseekScaling print affects run,Log ignores alias field,Display unrelated exception info causing startup failure,RequestMetrics time order error,Excessive logging causes CI crash,Metrics log missing,In idle state speculative decoding and prefix cache logs not filtered,Log level poorly set causing overly verbose information,mean or median e2e latency statistics wrong,Issue with last_token_time and arrival_time in RequestMetrics,Using pdb crashes CI no ruff output、CI no ruff output、mypy output not captured,Format check info unclear,Continuously printing performance logs when idle,Invalid warning output,Preempted sequences still included in log statistics,Logger prints redundant code paths、console output messy,Too much output in log leads to info loss or performance drop,Logging too frequently wastes system resources,Incomplete logging control or wrong type hints cause debugging difficulty,Lack of effective debug info makes issue location difficult,Unnecessary runtime info prompt,Insufficient debug info causes diagnostic difficulty,No output after adding debug statement such as printf,Log content write error or format abnormal,Profiler did not record key performance metrics,Missing or redundant log info makes debugging difficult,Too much terminal output,Using print causes excessive output affecting development,Log did not print specific config,Printed values confusing,Log output inconsistent with reality,Error message unclear or config print mismatched with actual input making issue hard to locate"
Code Quality、Logging、Testing and Security,Runtime Errors,"Runtime error、API missing、CI failure,Nightly CI test failed、inference or training flow interrupted,Subprocess exits abnormally or exit code non-zero,RTD build failed、CI errors frequent,Error during inference,torch tracer error,Deprecated warning generated or runtime exception,Such as DS_BUILD_OPS=1 failure、missing packaging>=20.0、import log side effects etc.,pytest parallel compile deadlock、CI scripts invalid after system upgrade,Inference outputs wrong logits、NaN、garbage values or poor performance,HF change causes CI failure / tensorboardX conflict,Fails on virtual machine or test host,1-bit Adam causes hang,Flops Profiler error,Pipe prof error,See_memory_usage error,profiling on Colab error,SHARP unusable etc.,finalize_model_grads error,test_serialization script hangs,compile failure triggers crash,test_compilation.py cannot run,Unknown runtime environment error appears,Debug mode raises PyTorch error,RequestMetrics object access failed,CUDA error with no clear hint,CI error causes test_multi_step_worker.py crash,benchmark_guided_serving.py error,CI hangs,benchmark script request error,benchmark_serving error,ray version upgrade breaks CI,TypeError when saving model such as cannot serialize ProcessGroup,Test flow causes cache timeout or model weight load failure,Script errors due to unhandled exception such as exit after device set or missing module,Runtime TypeError such as wrong keyword arg、indent error、missing attr etc.,AttributeError exception,AttributeError prevents training from continuing,TypeError thrown,AttributeError occurred,Main process no error message,Program error message,benchmark.sh or test script exception causes performance test or save load invalid,CLI tool segmentation fault、code formatter malfunction、build release flow error,Test failed or function abnormal,Code optimization leads to runtime error such as replacing CudaEvent causes test fail,Process error then not exit properly,Script syntax or Docker env issue causes process auto exit,Process ends without notice or inference result truncated,Script launch failed"
Code Quality、Logging、Testing and Security,Security and Stability Failures,"hostname -I error、shell=True security risk or argument pass failure,ResourceWarning warning、rank logs not separated、resources not released,Zarr checkpoint storage extremely slow,Zero1 executes serially,Communication and computation overlap not enabled,Project maliciously tampered by developer causing functional anomaly,Release pipelines contain race condition,Missing __main__ guard leads to OSError,Engine not destructed leading to cleanup failure,Using pickle file in Pixtral tests poses security risk,Cannot stop with Ctrl+C,Engine destructor not triggered leading to resources not cleaned"
Documentation and Maintainability,Documentation and Standards Gaps,"Documentation inconsistent with reality、flag misspelling、misleading error messages or parameter naming mistakes,MoE auxiliary loss inconsistent with the paper,README path error,Scripts in tutorials or docs support only single-GPU or partial configs,Users cannot find required info or feature description wrong,API documentation missing,README or doc path error,Runtime guideline for Modal container undefined,Unused scripts should be removed,Parameter docs not synchronized,Tool explanations missing,Speculative Decoding tokens metric not included,FusedMoE detail lacks specifics,Dockerfile missing Qwen VL,OpenVINO docs missing command,wake_up not documented,Dockerfile.openvino fix method complex—suggest simplifying,DeepSeek-V3 support unclear,vllm_config update prevents old class registration—users must update model definition from error,Distributed parameter help text inconsistent with actual logic,Torch version not updated in sync,Debug guide lacks common issues、should add links to user-reported issues,mathshepherd model docs do not state embedding support,Parameter renaming not synchronized,Docs do not mention async parameter,Docs do not clearly explain async parameter,Long-text support not specified leading to misuse,OpenAI API upgrade changes behavior—docs need broader support,num_crops undocumented,Script parameter list too long、uncommented code limits features、language barrier descriptions messy、README guidance unclear,Essential features missing (e.g., fp8 linear support)、code unmaintained (e.g., RoBERTa pretraining)、not adapted to new versions (e.g., transformers upgrade incompatibility),Documentation description wrong or missing (e.g., PR standards absent),Install errors due to unclear docs or dependency conflicts (e.g., apex install failure),Legacy usage not removed so docs outdated、tensor parallel description incomplete,Code implementation inconsistent with documentation,Example code fails with old dependencies or needs upgrade for security,Missing ddp training guidance; train scripts lack required parameters; API docs don’t cover new features,Lack of clear guidance causes incorrect implementation,PR discussion difficult,Global option such as no_cuda_ext not working—docs need redesign or use env var,Missing example links prevent viewing、start command inconsistency causes confusion,Code changes not synced to docs causing inconsistency,Users report docs lack feature diagrams or PR creation guidance,Hard to maintain or refactor,API updated but docs not synced causing errors when followed,zero3 chunk search tool and zero optim module lack function docs making use hard,Integration test guide needs more detail,Docs inaccessible or unreadable,Inaccurate doc info causes user misuse,Model list or API Chinese-English inconsistent,Doc-described parameters or features differ from software behavior leading to user error,Version compatibility/doc explanation error causes confusion or failure,README not updated with model support,Doc description mismatches code (e.g., Baichuan-7B doc error) and missing model config causes interface failure,Doc content or command parameter description unclear leading to misuse,README or CONTRIBUTING inaccurate or missing key info,Parameter, hardware or process description wrong causing user failure,Users fail at run time because config item missing in docs,Docs or model files unreachable,Maintenance difficult or error prone,Task Trainer examples lack standards,CPU server code not updated"
